,band_name,baseline_x,baseline_y,baseline_z,pad
100,alma/f100,-6.712372688,-684.9519378,-2.3269437,A017
101,alma/f100,-41.23929872,-725.9777278,-2.33663097,A018
102,alma/f100,-50.30411069,-711.209498,-2.332024766,A019
103,alma/f100,-43.64407228,-652.7424613,-2.322696805,A022
104,alma/f100,-59.4042934,-667.5717395,-2.130365568,A023
105,alma/f100,-74.47461587,-684.6574595,-2.129342649,A024
106,alma/f100,-84.5230042,-704.8937799,-1.937681767,A025
107,alma/f100,-86.87286754,-732.2620426,-1.928810218,A026
108,alma/f100,-93.14292454,-745.9594809,-1.941492838,A027
109,alma/f100,-57.04992893,-645.4388456,-2.129055948,A028
110,alma/f100,-68.48107366,-698.470785,-2.334779889,A030
111,alma/f100,-95.8997254,-694.8901111,-1.927739915,A031
112,alma/f100,-105.4387377,-755.003357,-1.640752815,A033
113,alma/f100,-76.90232093,-718.1727584,-1.929073338,A034
114,alma/f100,-26.04186157,-726.1888088,-2.332575051,A035
115,alma/f100,-15.39951252,-746.3592279,-2.331879161,A036
116,alma/f100,-80.49715673,-765.1118313,-1.942599619,A038
117,alma/f100,-64.18907113,-771.1494896,-1.940145207,A039
118,alma/f100,-42.33954858,-777.8607093,-2.339781511,A040
119,alma/f100,-23.09339256,-778.6079363,-2.340774491,A041
120,alma/f100,2.382622676,-763.2855572,-2.838872989,A042
121,alma/f100,17.1053716,-766.5338029,-2.842286715,A043
122,alma/f100,-80.06703001,-780.3740238,-1.336451415,A044
123,alma/f100,-63.50521219,-786.8199568,-1.341060659,A045
124,alma/f100,-36.66707354,-762.1662821,-2.339843364,A046
125,alma/f100,-19.65399721,-794.5952314,-2.338743316,A047
126,alma/f100,-1.523355241,-788.9452581,-2.8370088,A048
127,alma/f100,30.35174917,-773.9188068,-3.336231664,A049
128,alma/f100,-15.04639784,-764.3348031,-2.335016467,A050
129,alma/f144,-33.89412596,-712.7516484,-2.330089496,A001
130,alma/f144,-17.45390887,-709.6086972,-2.32867142,A002
131,alma/f144,-22.5589292,-691.9838607,-2.323742384,A003
132,alma/f144,-5.421013146,-723.7911045,-2.334250518,A004
133,alma/f144,25.24593899,-744.4318445,-2.336684256,A005
134,alma/f144,20.94634824,-721.464646,-2.333017829,A006
135,alma/f144,15.93453511,-700.6757482,-2.32967552,A007
136,alma/f144,9.482335836,-687.0764746,-2.729176727,A008
137,alma/f144,-9.835100334,-663.8265957,-2.722704263,A009
138,alma/f144,-20.89371519,-653.559982,-2.43766594,A010
139,alma/f144,37.82617818,-735.8760818,-2.484749162,A011
140,alma/f144,0.965953711,-702.6549839,-2.325874408,A013
141,alma/f144,10.73987943,-659.5673638,-2.726261907,A015
142,alma/f144,-20.62042134,-633.9073418,-2.527672839,A016
143,alma/f144,-6.712372688,-684.9519378,-2.3269437,A017
144,alma/f144,-41.23929872,-725.9777278,-2.33663097,A018
145,alma/f144,-50.30411069,-711.209498,-2.332024766,A019
146,alma/f144,-43.64407228,-652.7424613,-2.322696805,A022
147,alma/f144,-59.4042934,-667.5717395,-2.130365568,A023
148,alma/f144,-74.47461587,-684.6574595,-2.129342649,A024
149,alma/f144,-84.5230042,-704.8937799,-1.937681767,A025
150,alma/f144,-86.87286754,-732.2620426,-1.928810218,A026
151,alma/f144,-93.14292454,-745.9594809,-1.941492838,A027
152,alma/f144,-57.04992893,-645.4388456,-2.129055948,A028
153,alma/f144,-68.48107366,-698.470785,-2.334779889,A030
154,alma/f144,-95.8997254,-694.8901111,-1.927739915,A031
155,alma/f144,-105.4387377,-755.003357,-1.640752815,A033
156,alma/f144,-76.90232093,-718.1727584,-1.929073338,A034
157,alma/f144,-26.04186157,-726.1888088,-2.332575051,A035
158,alma/f144,-15.39951252,-746.3592279,-2.331879161,A036
159,alma/f144,-80.49715673,-765.1118313,-1.942599619,A038
160,alma/f144,-64.18907113,-771.1494896,-1.940145207,A039
161,alma/f144,-42.33954858,-777.8607093,-2.339781511,A040
162,alma/f144,-23.09339256,-778.6079363,-2.340774491,A041
163,alma/f144,2.382622676,-763.2855572,-2.838872989,A042
164,alma/f144,17.1053716,-766.5338029,-2.842286715,A043
165,alma/f144,-80.06703001,-780.3740238,-1.336451415,A044
166,alma/f144,-63.50521219,-786.8199568,-1.341060659,A045
167,alma/f144,-36.66707354,-762.1662821,-2.339843364,A046
168,alma/f144,-19.65399721,-794.5952314,-2.338743316,A047
169,alma/f144,-1.523355241,-788.9452581,-2.8370088,A048
170,alma/f144,30.35174917,-773.9188068,-3.336231664,A049
171,alma/f144,-15.04639784,-764.3348031,-2.335016467,A050
172,alma/f187,-33.89412596,-712.7516484,-2.330089496,A001
173,alma/f187,-17.45390887,-709.6086972,-2.32867142,A002
174,alma/f187,-22.5589292,-691.9838607,-2.323742384,A003
175,alma/f187,-5.421013146,-723.7911045,-2.334250518,A004
176,alma/f187,25.24593899,-744.4318445,-2.336684256,A005
177,alma/f187,20.94634824,-721.464646,-2.333017829,A006
178,alma/f187,15.93453511,-700.6757482,-2.32967552,A007
179,alma/f187,9.482335836,-687.0764746,-2.729176727,A008
180,alma/f187,-9.835100334,-663.8265957,-2.722704263,A009
181,alma/f187,-20.89371519,-653.559982,-2.43766594,A010
182,alma/f187,37.82617818,-735.8760818,-2.484749162,A011
183,alma/f187,0.965953711,-702.6549839,-2.325874408,A013
184,alma/f187,10.73987943,-659.5673638,-2.726261907,A015
185,alma/f187,-20.62042134,-633.9073418,-2.527672839,A016
186,alma/f187,-6.712372688,-684.9519378,-2.3269437,A017
187,alma/f187,-41.23929872,-725.9777278,-2.33663097,A018
