0,xi,eta
246,0.020297,-0.015586
247,0.020111,-0.016644
248,0.019925,-0.017703
249,0.019736,-0.018761
250,0.01955,-0.019822
251,0.019364,-0.020881
252,0.019178,-0.021939
253,0.021292,-0.003756
254,0.021106,-0.004814
255,0.020919,-0.005872
256,0.020731,-0.006931
257,0.020544,-0.007989
258,0.020358,-0.009047
259,0.020172,-0.010106
260,0.019986,-0.011164
261,0.019797,-0.012225
262,0.019611,-0.013283
263,0.019425,-0.014342
264,0.019239,-0.0154
265,0.019053,-0.016458
266,0.018864,-0.017517
267,0.018678,-0.018575
268,0.018492,-0.019633
269,0.018306,-0.020692
270,0.018119,-0.021753
271,0.020233,-0.003567
272,0.020047,-0.004625
273,0.019861,-0.005686
274,0.019672,-0.006744
275,0.019486,-0.007803
276,0.0193,-0.008861
277,0.019114,-0.009919
278,0.018928,-0.010978
279,0.018739,-0.012036
280,0.018553,-0.013094
281,0.018367,-0.014156
282,0.018181,-0.015214
283,0.017994,-0.016272
284,0.017806,-0.017331
285,0.017619,-0.018389
286,0.017433,-0.019447
287,0.017247,-0.020506
288,0.017061,-0.021564
289,0.015151,-0.003267
290,0.014707,-0.00434
291,0.014878,-0.005567
292,0.014619,-0.006708
293,0.014497,-0.007813
294,0.014947,-0.008094
295,0.014072,-0.010162
296,0.013797,-0.011248
297,0.013544,-0.01241
298,0.013802,-0.013593
299,0.013242,-0.014695
300,0.012941,-0.015828
301,0.012717,-0.017029
302,0.013453,-0.016564
303,0.012531,-0.019328
304,0.011894,-0.020356
305,0.011181,-0.021495
306,0.012706,-0.020797
307,0.014587,-0.003133
308,0.014502,-0.004302
309,0.014309,-0.005447
310,0.014098,-0.006617
311,0.01388,-0.00769
312,0.013889,-0.007906
313,0.013383,-0.010013
314,0.013161,-0.011111
315,0.012916,-0.012311
316,0.011712,-0.013072
317,0.012489,-0.014554
318,0.0123,-0.01566
319,0.012049,-0.016873
320,0.012394,-0.016375
321,0.011545,-0.019166
322,0.011306,-0.020229
323,0.011122,-0.021474
324,0.011647,-0.020611
325,0.013615,-0.002881
326,0.013417,-0.004045
327,0.013248,-0.005194
328,0.013026,-0.006357
329,0.012802,-0.007447
330,0.012831,-0.007719
331,0.012366,-0.009726
332,0.012124,-0.010884
333,0.011831,-0.012034
334,0.011636,-0.013072
335,0.011431,-0.014247
336,0.011194,-0.015373
337,0.01096,-0.016582
338,0.011336,-0.016189
339,0.010436,-0.018882
340,0.01032,-0.020009
341,0.00949,-0.021057
342,0.010589,-0.020425
343,0.012585,-0.002658
344,0.012394,-0.003803
345,0.012183,-0.004965
346,0.011955,-0.006138
347,0.011737,-0.007254
348,0.011769,-0.007533
349,0.011377,-0.009478
350,0.011071,-0.010698
351,0.010818,-0.011784
352,0.010606,-0.012843
353,0.010403,-0.013948
354,0.010144,-0.015097
355,0.009885,-0.016293
356,0.010278,-0.016003
357,0.009286,-0.018577
358,0.009273,-0.019755
359,0.009118,-0.020924
360,0.009531,-0.020236
361,0.011484,-0.002426
362,0.011326,-0.003552
363,0.011177,-0.004702
364,0.010974,-0.005852
365,0.010696,-0.007028
366,0.010711,-0.007347
367,0.010242,-0.009222
368,0.010003,-0.010499
369,0.009767,-0.011562
370,0.009522,-0.012618
371,0.009275,-0.01373
372,0.009089,-0.014849
373,0.008872,-0.015964
374,0.009219,-0.015817
375,0.008501,-0.018368
376,0.008128,-0.019489
377,0.007844,-0.020666
378,0.006941,-0.021588
379,0.010479,-0.002245
380,0.010291,-0.003286
381,0.010081,-0.004492
382,0.009902,-0.005658
383,0.009657,-0.00687
384,0.009653,-0.007161
385,0.009223,-0.008984
386,0.008947,-0.010188
387,0.008706,-0.011386
388,0.008458,-0.012421
389,0.008215,-0.013499
390,0.008073,-0.014655
391,0.007828,-0.015828
392,0.008161,-0.015631
393,0.00736,-0.018109
394,0.007094,-0.019255
395,0.006871,-0.020509
396,0.006724,-0.021526
397,0.009474,-0.002013
398,0.00927,-0.003123
399,0.009095,-0.004268
400,0.008851,-0.005382
401,0.008567,-0.006637
402,0.008594,-0.006972
403,0.008105,-0.008761
404,0.007875,-0.009901
405,0.007639,-0.011155
406,0.007375,-0.012181
407,0.007154,-0.01328
408,0.006976,-0.014407
409,0.006758,-0.015578
410,0.0071,-0.015442
411,0.006222,-0.017848
412,0.006073,-0.018934
413,0.005759,-0.020266
414,0.006356,-0.019678
415,0.008514,-0.00175
416,0.008272,-0.002928
417,0.008083,-0.004054
418,0.007783,-0.005178
419,0.007458,-0.006341
420,0.007536,-0.006786
421,0.007033,-0.008526
422,0.006843,-0.00966
423,0.006598,-0.010864
424,0.006378,-0.011956
425,0.006161,-0.013055
426,0.005885,-0.014169
427,0.005698,-0.015371
428,0.006042,-0.015256
429,0.005208,-0.01762
